layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
/model.8/cv0/conv/Conv || /model.8/cv1/conv/Conv,1x179x20x20,1x178x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm75_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize32x64x64_stage1_warpsize2x2x1_g1_tensor8x8x16_t1r1s1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.8/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))",1x89x20x20,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.8/m.0/cv2/conv/Conv,1x89x20x20,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm72_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize32x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_t1r3s3,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",1x267x20x20,1x179x20x20,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.9/cv1/conv/Conv,1x179x20x20,1x89x20x20,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_xregs_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"/model.9/cv2/conv/Conv + PWN(PWN(/model.9/cv2/act/Sigmoid), PWN(/model.9/cv2/act/Mul))",1x356x20x20,1x179x20x20,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x64_relu_interior_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; Cout=179 is not divisible by 4, unfavorable for vectorized INT8"
/model.12/cv0/conv/Conv || /model.12/cv1/conv/Conv,1x268x40x40,1x88x40x40,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x32x8_stage1_warpsize2x2x1_g1_ffma_simple_t1r1s1_aligna4_alignc4,engine inspector confirms float weights and FP32 tactic; TensorRT fused parallel C2f/Detect convolutions with a shared output precision; FP32 island propagated through the input tensor
"/model.12/m.0/cv1/conv/Conv + PWN(PWN(/model.12/m.0/cv1/act/Sigmoid), PWN(/model.12/m.0/cv1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.12/m.0/cv2/conv/Conv + PWN(PWN(/model.12/m.0/cv2/act/Sigmoid), PWN(/model.12/m.0/cv2/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32"
"/model.12/cv2/conv/Conv + PWN(PWN(/model.12/cv2/act/Sigmoid), PWN(/model.12/cv2/act/Mul))",1x132x40x40,1x89x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
/model.15/cv0/conv/Conv || /model.15/cv1/conv/Conv,1x133x80x80,1x44x80x80,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; TensorRT fused parallel C2f/Detect convolutions with a shared output precision"
/model.15/m.0/cv1/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
/model.15/m.0/cv2/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.15/cv2/conv/Conv + PWN(PWN(/model.15/cv2/act/Sigmoid), PWN(/model.15/cv2/act/Mul))",1x66x80x80,1x44x80x80,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.16/conv/Conv + PWN(PWN(/model.16/act/Sigmoid), PWN(/model.16/act/Mul))",1x44x80x80,1x44x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.18/cv0/conv/Conv || /model.18/cv1/conv/Conv,1x133x40x40,1x88x40x40,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm72_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.18/m.0/cv1/conv/Conv + PWN(PWN(/model.18/m.0/cv1/act/Sigmoid), PWN(/model.18/m.0/cv1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; FP32 island propagated through the input tensor
"/model.18/m.0/cv2/conv/Conv + PWN(PWN(/model.18/m.0/cv2/act/Sigmoid), PWN(/model.18/m.0/cv2/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; FP32 island propagated through the input tensor
"/model.18/cv2/conv/Conv + PWN(PWN(/model.18/cv2/act/Sigmoid), PWN(/model.18/cv2/act/Mul))",1x132x40x40,1x89x40x40,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.19/conv/Conv + PWN(PWN(/model.19/act/Sigmoid), PWN(/model.19/act/Mul))",1x89x40x40,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.21/cv0/conv/Conv || /model.21/cv1/conv/Conv,1x268x20x20,1x178x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm75_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize32x64x64_stage1_warpsize2x2x1_g1_tensor8x8x16,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.21/m.0/cv1/conv/Conv + PWN(PWN(/model.21/m.0/cv1/act/Sigmoid), PWN(/model.21/m.0/cv1/act/Mul))",1x89x20x20,1x89x20x20,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,"engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; FP32 island propagated through the input tensor; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"/model.21/m.0/cv2/conv/Conv + PWN(PWN(/model.21/m.0/cv2/act/Sigmoid), PWN(/model.21/m.0/cv2/act/Mul))",1x89x20x20,1x89x20x20,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,"engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; FP32 island propagated through the input tensor; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"/model.21/cv2/conv/Conv + PWN(PWN(/model.21/cv2/act/Sigmoid), PWN(/model.21/cv2/act/Mul))",1x267x20x20,1x179x20x20,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv2.2/cv2.2.0/conv/Conv || /model.22/cv3.2/cv3.2.0/conv/Conv,1x179x20x20,1x88x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm50_xmma_conv_fprop_fused_conv_act_int8_NCxHW32_int8_NCxHW32_KCRS_int8_int8_fp32_Accint32_32_32_cC4_dC4_srcVec1_fltVec1_1_TP5_TQ7_C4_R3_S3_U1_V1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.22/cv2.2/cv2.2.1/conv/Conv + PWN(PWN(/model.22/cv2.2/cv2.2.1/act/Sigmoid), PWN(/model.22/cv2.2/cv2.2.1/act/Mul))",1x44x20x20,1x44x20x20,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor
/model.22/cv2.2/cv2.2.2/Conv,1x44x20x20,1x64x20x20,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage1_warpsize4x1x1_g1_ffma_aligna4_alignc4,engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor
"/model.22/cv3.2/cv3.2.1/conv/Conv + PWN(PWN(/model.22/cv3.2/cv3.2.1/act/Sigmoid), PWN(/model.22/cv3.2/cv3.2.1/act/Mul))",1x44x20x20,1x44x20x20,3x3,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor
/model.22/cv3.2/cv3.2.2/Conv,1x44x20x20,1x6x20x20,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec4_fltVec1_1_TP7_TQ1_C1_R1_S1_U1_V1,"engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor; Cout=6 is not divisible by 4, unfavorable for vectorized INT8"
/model.22/cv2.1/cv2.1.0/conv/Conv || /model.22/cv3.1/cv3.1.0/conv/Conv,1x89x40x40,1x88x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm72_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_t1r3s3,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.22/cv2.1/cv2.1.1/conv/Conv + PWN(PWN(/model.22/cv2.1/cv2.1.1/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv2.1/cv2.1.2/Conv,1x44x40x40,1x64x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Detect/DFL boundary remains high precision to preserve detector semantics"
"/model.22/cv3.1/cv3.1.1/conv/Conv + PWN(PWN(/model.22/cv3.1/cv3.1.1/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv3.1/cv3.1.2/Conv,1x44x40x40,1x6x40x40,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm72_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor8x8x16_simple_t1r1s1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv2.0/cv2.0.0/conv/Conv || /model.22/cv3.0/cv3.0.0/conv/Conv,1x44x80x80,1x88x80x80,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Detect/DFL boundary remains high precision to preserve detector semantics; TensorRT fused parallel C2f/Detect convolutions with a shared output precision"
"/model.22/cv2.0/cv2.0.1/conv/Conv + PWN(PWN(/model.22/cv2.0/cv2.0.1/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.1/act/Mul))",1x44x80x80,1x44x80x80,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_xregs_large_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv2.0/cv2.0.2/Conv,1x44x80x80,1x64x80x80,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Detect/DFL boundary remains high precision to preserve detector semantics"
/model.22/dfl/conv/Conv,1x16x4x8400,1x1x4x8400,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage1_warpsize4x1x1_g1_ffma_aligna4_alignc4,"engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor; Cout=1 is not divisible by 4, unfavorable for vectorized INT8"
"/model.22/cv3.0/cv3.0.1/conv/Conv + PWN(PWN(/model.22/cv3.0/cv3.0.1/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.1/act/Mul))",1x44x80x80,1x44x80x80,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_small_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv3.0/cv3.0.2/Conv,1x44x80x80,1x6x80x80,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm75_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_simple_t1r1s1,Engine inspector confirms INT8 output format and INT8 tactic.
